Agricultural Vendors in amritsar

| ID | Name | Type | Latitude | Longitude | Address | Phone | Website | GST/ID | Source URL |
|----|------|------|----------|-----------|---------|-------|---------|--------|-----------|
| 1 | Shriram Farm Solutions - Kamal Pesticides Store | Agricultural Vendor |  |  | Shriram Farm Solutions - Kamal Pesticides Store 5, 0(1)Agricultural Seed Store  37Open ⋅ Closes 8 pm  8 | 098140 0549 | https://www.google.com/maps/place/Shriram+Farm+Solutions+-+Kamal+Pesticides+Store/data=!4m7!3m6!1s0x39196303e8d5ffdd:0x81d32357b0c0d55!8m2!3d31.6324037!4d74.8802082!16s%2Fg%2F11sjrmbpdm!19sChIJ3f_V6ANjGTkRVQ0MezUyHQg?authuser=0&hl=en&rclk=1 |  | https://www.google.com/maps/search/agricultural%20vendors%20in%20amritsar |
| 2 | Unknown | Agricultural Vendor |  |  | N/A |  |  |  | https://www.google.com/maps/search/agricultural%20vendors%20in%20amritsar |
| 3 | National Agricultural Supply Company | Agricultural Vendor |  |  | National Agricultural Supply Company 3, 0(2)Industrial equipment supplier  Court RdClosed ⋅ Opens 9 am Mon  0 | 099888 5472 | https://www.google.com/maps/place/National+Agricultural+Supply+Company/data=!4m7!3m6!1s0x391964af081f8b0f:0x6dceea1500542864!8m2!3d31.6344646!4d74.8714158!16s%2Fg%2F1tfbr8c4!19sChIJD4sfCK9kGTkRZChUABXqzm0?authuser=0&hl=en&rclk=1 |  | https://www.google.com/maps/search/agricultural%20vendors%20in%20amritsar |
| 4 | Sukha Singh Inder Singh | Agricultural Vendor |  |  | Sukha Singh Inder Singh 4, 5(59)Agricultural Seed Store  JVJF+MR6, Outside Hall Gate, Sabji Mandi, Hall Bazar, Katra AhluwaliaOpen ⋅ Closes 7:30 pm  1 | 098763 5111 | https://www.google.com/maps/place/Sukha+Singh+Inder+Singh/data=!4m7!3m6!1s0x14f9ffd9c842af05:0x6b27cd15de60748d!8m2!3d31.6316526!4d74.8745247!16s%2Fg%2F11b6hh6nj7!19sChIJBa9CyNn_-RQRjXRg3hXNJ2s?authuser=0&hl=en&rclk=1 |  | https://www.google.com/maps/search/agricultural%20vendors%20in%20amritsar |
| 5 | Rajinder Agri Clinic | Agricultural Vendor |  |  | Rajinder Agri Clinic 4, 4(88)Farm    G, T, Road, opposite State Bank of PatialaOpen ⋅ Closes 6:30 pm | 0183 244 0544 | https://www.google.com/maps/place/Rajinder+Agri+Clinic/data=!4m7!3m6!1s0x391964bbfffffff9:0xd188e86f416a384f!8m2!3d31.5864502!4d74.9733971!16s%2Fg%2F11b_01nwns!19sChIJ-f___7tkGTkRTzhqQW_oiNE?authuser=0&hl=en&rclk=1 |  | https://www.google.com/maps/search/agricultural%20vendors%20in%20amritsar |
| 6 | BABA DEEP SINGH KHETI STORE | Agricultural Vendor |  |  | BABA DEEP SINGH KHETI STORE 5, 0(14)Fertilizer Store  Batala - Amritsar Rd, opp, Punjab and Sind bank, near VerkaOpen ⋅ Closes 12 pm  3 | 098763 1775 | https://www.google.com/maps/place/BABA+DEEP+SINGH+KHETI+STORE/data=!4m7!3m6!1s0x39196366e9d0ec35:0x7ea80b61a905c817!8m2!3d31.679331!4d74.9558535!16s%2Fg%2F11vqgz76cs!19sChIJNezQ6WZjGTkRF8gFqWELqH4?authuser=0&hl=en&rclk=1 |  | https://www.google.com/maps/search/agricultural%20vendors%20in%20amritsar |
| 7 | Mahajan Tool Centre | Agricultural Vendor |  |  | Amritsar15 Years in Business |  |  |  | https://www.justdial.com/amritsar/Agricultural-Equipment-Dealers |
| 8 | Satkartar Kheti Store | Agricultural Vendor |  |  | Amritsar18 Years in Business |  | https://www.justdial.com/Amritsar/Satkartar-Kheti-Store-Near-Cooprative-Bank-Ajnala/0183PX183-X183-171225212613-E7I6_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  | https://www.justdial.com/amritsar/Agricultural-Equipment-Dealers |
| 9 | Harnam Singh & Sons | Agricultural Vendor |  |  | MalerkotlaAlso ServesAmritsar13 Years in Business |  | https://www.justdial.com/Malerkotla/Harnam-Singh-Sons-Ludhiana-To-Malerkotla-Road-Malerkotla/9999P1675-1675-120701131408-B8Y6_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  | https://www.justdial.com/amritsar/Agricultural-Equipment-Dealers |
| 10 | Rajinder Trading Company | Agricultural Vendor |  |  | LudhianaAlso ServesAmritsar |  | https://www.justdial.com/Ludhiana/Rajinder-Trading-Company-Near-Partap-Chowk-Dholewal-Chowk/0161PX161-X161-230807151944-J3M2_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  | https://www.justdial.com/amritsar/Agricultural-Equipment-Dealers |
| 11 | Hari Singh & Sons | Agricultural Vendor |  |  | FerozepurAlso ServesAmritsar23 Years in Business |  | https://www.justdial.com/Ferozepur/Hari-Singh-Sons-Inside-Bagdadi-Gate-Dhobi-Mohalla/9999P1632-1632-231017213929-V1G2_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  | https://www.justdial.com/amritsar/Agricultural-Equipment-Dealers |
| 12 | DM Traders | Agricultural Vendor |  |  | ZirakpurAlso ServesAmritsar3 Years in Business |  | https://www.justdial.com/Zirakpur/DM-Traders-Near-Lavanya-Health-Care-Dhakoli/0172PX172-X172-241005124627-X6X2_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  | https://www.justdial.com/amritsar/Agricultural-Equipment-Dealers |
| 13 | Agrizone Implements | Agricultural Vendor |  |  | PatialaAlso ServesAmritsar4 Years in Business |  | https://www.justdial.com/Patiala/Agrizone-Implements-Opposite-Mubasa-Daulatpur/9999PX175-X175-240801122643-G5X7_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  | https://www.justdial.com/amritsar/Agricultural-Equipment-Dealers |
| 14 | New Jagjit Janta Agri Engg Work | Agricultural Vendor |  |  | Sirsa-HaryanaAlso ServesAmritsar8 Years in Business |  | https://www.justdial.com/Sirsa-Haryana/New-Jagjit-Janta-Agri-Engg-Work-Hanumangarh-Road-Ellenabad-Ellenabad/9999P1666-1666-230213165023-Y4U4_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  | https://www.justdial.com/amritsar/Agricultural-Equipment-Dealers |
| 15 | KS Agrotech Pvt. Ltd. | Agricultural Vendor |  |  | MalerkotlaAlso ServesAmritsar57 Years in Business |  | https://www.justdial.com/Malerkotla/KS-Agrotech-Pvt-Ltd-Near-Railway-Crossing-Malerkotla/9999P1672-1672-160618103102-I4T8_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  | https://www.justdial.com/amritsar/Agricultural-Equipment-Dealers |
| 16 | Dhiman Tools | Agricultural Vendor |  |  | ChandigarhAlso ServesAmritsar73 Years in Business |  | https://www.justdial.com/Chandigarh/Dhiman-Tools-Near-Elante-4-No-Gate-Industrial-Area/0172PX172-X172-140526152534-B5J8_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  | https://www.justdial.com/amritsar/Agricultural-Equipment-Dealers |

✅ 16 agricultural vendors found in amritsar.
