Agricultural Vendors in Tuni

| ID | Name | Type | Latitude | Longitude | Address | Phone | Website | GST/ID | Source URL |
|----|------|------|----------|-----------|---------|-------|---------|--------|-----------|
| 1 | Tuni Agriculture Market Yard | Agricultural Vendor |  |  | Tuni Agriculture Market Yard 4.0(1,223)MarketClosed ⋅ Opens 5:30 am |  | https://www.google.com/maps/place/Tuni+Agriculture+Market+Yard/data=!4m7!3m6!1s0x3a39c7c29f7765ad:0x9670ca363efde569!8m2!3d17.353931!4d82.5400036!16s%2Fg%2F1hd_cfl_x!19sChIJrWV3n8LHOToRaeX9PjbKcJY?authuser=0&hl=en&rclk=1 |  | https://www.google.com/maps/search/agricultural%20vendors%20in%20Tuni |
| 2 | Unknown | Agricultural Vendor |  |  | N/A |  |  |  | https://www.google.com/maps/search/agricultural%20vendors%20in%20Tuni |
| 3 | NGR Aquatech Pvt Ltd | Agricultural Vendor |  |  | NGR Aquatech Pvt Ltd 4, 1(29)Shrimp farm    Palmanpeta village, adaripeta post, via, Tuni - Polamanipeta RdOpen 24 hours  1 | 098481 4311 | https://www.google.com/maps/place/NGR+Aquatech+Pvt+Ltd/data=!4m7!3m6!1s0x3a39c966e9939e8d:0xd73cf039b22319ee!8m2!3d17.2606231!4d82.5560601!16s%2Fg%2F11h_42k58k!19sChIJjZ6T6WbJOToR7hkjsjnwPNc?authuser=0&hl=en&rclk=1 |  | https://www.google.com/maps/search/agricultural%20vendors%20in%20Tuni |
| 4 | Sri nagalakshmi seeds | Agricultural Vendor |  |  | Sri nagalakshmi seeds 4, 7(13)Agricultural Seed Store  Tuni Town RdClosed ⋅ Opens 8 am Sat  0 | 092473 9867 | https://www.google.com/maps/place/Sri+nagalakshmi+seeds/data=!4m7!3m6!1s0x3a39c7ca0315c1bb:0x57bbcb8561ee1cf!8m2!3d17.3598879!4d82.5434921!16s%2Fg%2F11h5qvp74h!19sChIJu8EVA8rHOToRz-EeVri8ewU?authuser=0&hl=en&rclk=1 |  | https://www.google.com/maps/search/agricultural%20vendors%20in%20Tuni |
| 5 | RAYAPATI VEGETABLES & ONION TRADER'S { RSR } | Agricultural Vendor |  |  | RAYAPATI VEGETABLES & ONION TRADER'S { RSR } 2, 8(16)Supplier    AGRICULTURE MARKET YARD, TUNI, vishakapatnam District, 533401Open 24 hours  9 | 063003 2348 | https://www.google.com/maps/place/RAYAPATI+VEGETABLES+%26+ONION+TRADER%27S+%7B+RSR+%7D/data=!4m7!3m6!1s0x3a38276653d9671b:0x91dd3d5292cb970c!8m2!3d17.3538828!4d82.5399201!16s%2Fg%2F11fct84rmn!19sChIJG2fZU2YnODoRDJfLklI93ZE?authuser=0&hl=en&rclk=1 |  | https://www.google.com/maps/search/agricultural%20vendors%20in%20Tuni |
| 6 | Ocean Bay Hatcheries | Agricultural Vendor |  |  | Ocean Bay Hatcheries 4, 4(7)Agricultural Seed Store8 | 080933 2322 | https://www.google.com/maps/place/Ocean+Bay+Hatcheries/data=!4m7!3m6!1s0x3a39c9f4807f99dd:0xb63b74adb2d4db11!8m2!3d17.252175!4d82.5427646!16s%2Fg%2F11f4wmx6qb!19sChIJ3Zl_gPTJOToREdvUsq10O7Y?authuser=0&hl=en&rclk=1 |  | https://www.google.com/maps/search/agricultural%20vendors%20in%20Tuni |
| 7 | Sree Lakshmi Kubera Enterprises | Agricultural Vendor |  |  | VisakhapatnamAlso ServesTuni20 Years in Business |  | https://www.justdial.com/Visakhapatnam/Sree-Lakshmi-Kubera-Enterprises-Sheelanagar-Traffic-Police-Box-Behind-Ayyappa-Swamy-Temple-Sheela-Nagar/0891PX891-X891-190913121656-X1Q4_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  | https://www.justdial.com/Tuni/Agricultural-Equipment-Dealers |
| 8 | Raga Agro Equipments | Agricultural Vendor |  |  | VijayawadaAlso ServesTuni7 Years in Business |  | https://www.justdial.com/Vijayawada/Raga-Agro-Equipments-Near-By-Satya-Sai-Baba-Temple-Gandhi-Nagar/0866PX866-X866-210914094505-D1J2_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  | https://www.justdial.com/Tuni/Agricultural-Equipment-Dealers |
| 9 | Sri Mahalakshmi Industries | Agricultural Vendor |  |  | GunturAlso ServesTuni44 Years in Business |  | https://www.justdial.com/Guntur/Sri-Mahalakshmi-Industries-Near-Nri-Hospital-Mangalagiri/9999PX863-X863-140613164652-Q5W6_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  | https://www.justdial.com/Tuni/Agricultural-Equipment-Dealers |
