Agricultural Vendors in narsipatnam

| ID | Name | Type | Latitude | Longitude | Address | Phone | Website | GST/ID |
|----|------|------|----------|-----------|---------|-------|---------|--------|
| 1 | SVR poultry farms and feeds | Agricultural Vendor |  |  | SVR poultry farms and feeds 4.5(2)Poultry farm · near GAIL office |  | https://www.google.com/maps/place/SVR+poultry+farms+and+feeds/data=!4m7!3m6!1s0x3a3997af3c2699c5:0x9a357d3bbd06eb33!8m2!3d17.5848165!4d82.6659038!16s%2Fg%2F11rgq_jkw8!19sChIJxZkmPK-XOToRM-sGvTt9NZo?authuser=0&hl=en&rclk=1 |  |
| 2 | Unknown | Agricultural Vendor |  |  | N/A |  |  |  |
| 3 | Sri balaji Seeds | Agricultural Vendor |  |  | Sri balaji Seeds 4, 0(1)Agricultural Product WholesalerClosed ⋅ Opens 7 am Mon  4 | 096666 3383 | https://www.google.com/maps/place/Sri+balaji+Seeds/data=!4m7!3m6!1s0x3a3993da3741de99:0x97b1a16999c0aad6!8m2!3d17.6577924!4d82.6135186!16s%2Fg%2F11t5d2fh5r!19sChIJmd5BN9qTOToR1qrAmWmhsZc?authuser=0&hl=en&rclk=1 |  |
| 4 | LAMBASINGI TRIBAL PRODUCTS FARMERS PRODUCER COMPANY LTD | Agricultural Vendor |  |  | LAMBASINGI TRIBAL PRODUCTS FARMERS PRODUCER COMPANY LTD 5, 0(3)Agricultural production  9-43 RAJUPAKALU VILLAGE CHINTAPALLI MANDAL, DISTClosed ⋅ Opens 9:30 am  8 | 080999 9964 | https://www.google.com/maps/place/LAMBASINGI+TRIBAL+PRODUCTS+FARMERS+PRODUCER+COMPANY+LTD/data=!4m7!3m6!1s0x3a39f7d1fa20105b:0xcbb98f76b636e139!8m2!3d17.8309581!4d82.4683826!16s%2Fg%2F11rj3vzd6z!19sChIJWxAg-tH3OToROeE2tnaPucs?authuser=0&hl=en&rclk=1 |  |
| 5 | Krishna Bazar Area | Agricultural Vendor |  |  | Krishna Bazar Area 3, 9(1,100)Market    Karishna bajarClosed ⋅ Opens 10 am  4 | 094414 7947 |  |  |
| 6 | Baldev Engineering | Agricultural Vendor |  |  | Navi Mumbai16 Years in Business |  | https://www.justdial.com/Navi-Mumbai/Baldev-Engineering-Opposite-D-Y-Patil-Stadium-Midc-Industrial-Area-Nerul/022PXX22-XX22-131219124833-X3Z1_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  |
| 7 | Green View | Agricultural Vendor |  |  | Navi Mumbai26 Years in Business |  | https://www.justdial.com/Navi-Mumbai/Green-View-Near-Shavarkar-Chowk-Behind-Session-Court-Panvel/022PXX22-XX22-130726134458-S4G8_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  |
| 8 | Elecshine Engineering Pvt Ltd | Agricultural Vendor |  |  | Navi Mumbai8 Years in Business |  |  |  |
| 9 | Maharashtra Traders | Agricultural Vendor |  |  | Mumbai20 Years in Business |  | https://www.justdial.com/Mumbai/Maharashtra-Traders-Cstm-Railway-Station-Nagpada-Mumbai-Central/022PXX22-XX22-121207000002-X7F3_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  |
| 10 | Baldev Engineering | Agricultural Vendor |  |  | Palghar8 Years in Business |  | https://www.justdial.com/Palghar/Baldev-Engineering-Near-Gandhre-Bus-Stop-Gandhre-Kone-Wada/022PXX22-XX22-170316085702-A7B3_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  |
| 11 | Meraj Tech Services | Agricultural Vendor |  |  | Navi Mumbai9 Years in Business |  | https://www.justdial.com/Navi-Mumbai/Meraj-Tech-Services-Opp-Lokhmanya-Tilak-Engineering-Collage-Kopar-Khairane/022PXX22-XX22-180606132011-L9S9_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  |
| 12 | Adarsh Stores | Agricultural Vendor |  |  | Mumbai42 Years in Business |  |  |  |
| 13 | Om Sai Krushi Seve Kendra | Agricultural Vendor |  |  | Palghar20 Years in Business |  |  |  |
| 14 | Krushi Seva Kedra Shahpur | Agricultural Vendor |  |  | Thane24 Years in Business |  | https://www.justdial.com/Thane/Krushi-Seva-Kedra-Shahpur-Gotheghar-Shahapur/022PXX22-XX22-140718170023-B3E6_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  |
| 15 | Fortune Agro Nets | Agricultural Vendor |  |  | VapiAlso ServesMumbai20 Years in Business |  | https://www.justdial.com/Vapi/Fortune-Agro-Nets-Near-Shah-Paper-Mill-Vapi-Industrial-Estate/9999PX260-X260-150320162150-C6G1_BZDET?cat_b2b_flag=1&searchfrom=lst&bd=1&mncatname=Agricultural%20Equipment%20Dealers&ncatid=10009466&ftterm=&thumbnail= |  |

✅ 15 agricultural vendors found in narsipatnam.
